state,rainfall,elevation,population_density,coastal_distance,historical_index,risk_level
Jharkhand,95.81,13.55,56.2,82.61,86.03,critical
Rajasthan,19.1,72.81,66.68,100.0,88.61,medium
Karnataka,84.31,49.97,79.98,51.18,55.67,high
Gujarat,48.23,15.72,76.77,9.62,34.43,high
Bihar,26.11,35.55,42.5,100.0,49.29,medium
Rajasthan,12.09,39.28,94.05,99.24,64.53,medium
Jharkhand,56.27,42.42,98.57,42.51,90.27,high
West Bengal,68.2,24.16,53.17,18.94,44.95,high
Jharkhand,74.11,18.33,47.75,95.81,65.82,high
West Bengal,0.0,0.0,83.98,3.22,71.35,high
UP,64.8,13.13,61.0,100.0,28.67,high
Jharkhand,54.64,19.91,40.72,100.0,69.79,high
Karnataka,46.44,45.74,71.49,48.51,72.22,high
Bihar,67.4,5.5,69.08,100.0,71.81,high
Jharkhand,15.46,36.19,86.21,84.75,42.07,medium
Karnataka,66.46,31.22,60.73,21.22,86.88,high
Gujarat,35.21,0.42,33.27,0.0,86.09,high
West Bengal,7.13,24.07,80.42,17.85,52.22,high
Telangana,33.83,27.32,13.71,97.85,2.58,medium
Maharashtra,69.98,42.65,43.67,0.0,25.82,high
Bihar,85.01,39.24,62.78,100.0,13.68,high
UP,74.6,0.0,96.78,69.86,28.12,critical
Jharkhand,63.54,63.14,84.01,68.46,27.54,high
Andhra Pradesh,67.3,45.27,30.39,8.84,75.93,high
Jharkhand,53.16,30.77,70.91,58.05,58.52,high
Gujarat,52.84,7.59,67.2,10.85,97.79,critical
Jharkhand,55.13,35.7,56.0,92.46,23.31,medium
Odisha,51.44,0.0,51.58,16.72,62.36,high
Assam,34.3,3.44,69.85,100.0,52.87,high
UP,93.78,6.55,100.0,100.0,40.25,critical
Andhra Pradesh,30.88,30.29,86.17,0.0,20.42,high
Telangana,4.02,33.4,99.37,92.32,47.41,medium
Andhra Pradesh,79.54,24.96,64.71,21.93,42.97,critical
Assam,13.38,0.0,89.12,77.51,15.71,high
Gujarat,64.16,3.9,54.72,0.0,48.43,critical
MP,78.88,41.14,72.06,100.0,36.78,high
Assam,34.61,0.0,36.32,66.17,51.44,high
MP,0.0,30.62,59.53,100.0,45.07,medium
Tamil Nadu,52.19,11.69,77.28,20.15,36.74,high
Telangana,40.6,27.47,66.13,78.84,89.93,high
Assam,76.29,0.0,65.57,89.37,25.69,high
Rajasthan,56.99,7.45,31.82,97.87,37.78,high
UP,38.84,0.0,98.74,100.0,49.8,high
Telangana,92.0,51.44,76.11,100.0,84.77,high
UP,45.3,4.97,92.91,58.81,2.16,high
MP,78.53,47.45,61.11,83.88,0.0,high
Andhra Pradesh,40.19,7.04,65.97,0.0,56.76,high
Telangana,53.74,30.61,83.16,74.82,61.29,high
Maharashtra,68.21,33.11,100.0,37.39,73.33,critical
Maharashtra,35.96,39.61,48.7,41.94,56.65,medium
Andhra Pradesh,70.96,0.0,63.68,0.0,33.7,critical
Assam,56.18,39.01,26.1,42.0,55.74,high
Tamil Nadu,39.95,26.4,87.13,20.43,31.92,high
Karnataka,100.0,38.8,68.19,24.03,66.1,critical
Assam,64.28,0.0,66.73,66.89,79.19,critical
Tamil Nadu,61.36,22.98,78.93,15.32,61.89,critical
Jharkhand,68.59,50.52,20.84,87.22,43.24,medium
Tamil Nadu,78.69,41.59,57.03,10.0,70.14,critical
Bihar,55.46,37.15,71.54,85.62,70.74,high
Tamil Nadu,0.0,18.63,34.39,0.0,30.88,medium
Odisha,33.13,3.99,75.19,34.95,74.15,high
West Bengal,57.05,19.55,79.42,0.96,39.37,critical
Assam,66.97,13.0,85.75,59.8,43.25,high
MP,30.53,24.72,100.0,100.0,38.16,high
Gujarat,89.65,33.13,32.36,9.62,23.54,high
Rajasthan,42.18,7.33,51.39,58.41,34.87,high
Gujarat,62.0,1.12,100.0,6.58,52.73,critical
West Bengal,73.14,23.07,78.45,0.0,45.41,critical
Odisha,59.6,11.5,63.2,25.62,100.0,critical
Jharkhand,68.1,55.96,51.19,92.32,34.24,medium
Rajasthan,29.7,0.18,81.46,93.47,17.75,high
Assam,22.62,10.42,80.51,79.43,11.76,medium
West Bengal,75.11,2.64,86.61,0.0,24.57,critical
West Bengal,67.92,39.15,32.41,10.2,78.24,high
Tamil Nadu,100.0,15.89,65.28,4.52,54.95,critical
Andhra Pradesh,51.39,58.55,42.86,33.77,0.0,medium
UP,40.91,0.0,57.87,89.77,35.81,high
Odisha,49.46,0.0,49.44,0.0,93.81,critical
Karnataka,48.58,57.36,32.55,21.82,50.64,medium
Tamil Nadu,19.73,16.48,62.39,15.01,23.67,high
Telangana,76.55,37.35,65.26,76.23,7.67,high
Assam,32.49,12.89,39.98,88.48,45.38,medium
Telangana,17.53,45.09,55.83,96.77,79.63,medium
Kerala,38.25,8.7,54.1,22.44,49.23,high
Bihar,100.0,0.0,82.39,100.0,16.04,critical
Maharashtra,43.26,10.67,67.02,0.0,63.8,critical
Bihar,53.28,0.0,53.77,96.28,39.39,high
Telangana,38.84,31.84,84.65,100.0,75.36,high
Karnataka,84.65,45.86,93.08,5.09,3.63,critical
Maharashtra,30.26,24.78,68.97,0.0,64.53,high
Jharkhand,49.37,53.11,69.61,88.65,63.53,medium
Karnataka,58.32,49.4,68.7,0.0,67.51,high
West Bengal,24.2,7.18,69.72,12.65,38.0,high
Kerala,100.0,37.7,58.3,42.5,48.82,critical
Rajasthan,35.08,23.86,58.84,78.82,66.59,high
Bihar,80.25,14.67,38.29,97.6,65.26,high
Jharkhand,75.12,48.95,65.79,80.23,56.68,high
Gujarat,73.36,30.28,67.68,12.93,44.67,critical
Assam,88.92,2.61,92.13,15.75,83.7,critical
Tamil Nadu,87.44,8.48,58.82,9.44,38.03,critical
Tamil Nadu,3.0,0.0,91.68,11.36,100.0,high
MP,67.13,53.02,70.66,61.01,64.64,high
Karnataka,61.4,41.7,77.82,11.56,49.39,high
Tamil Nadu,41.12,4.83,34.58,0.0,33.39,high
West Bengal,33.18,16.9,58.99,0.0,24.85,high
Andhra Pradesh,28.73,0.0,77.73,1.1,27.92,high
West Bengal,79.61,1.79,64.01,21.5,21.93,critical
West Bengal,64.56,2.76,51.81,0.0,64.93,critical
Odisha,15.75,11.11,54.65,0.0,63.88,high
Maharashtra,39.43,37.73,88.88,6.93,12.5,high
West Bengal,90.51,0.0,48.35,17.43,36.19,critical
Tamil Nadu,70.82,0.0,47.43,1.38,5.95,critical
Odisha,68.59,26.25,47.99,12.09,6.29,high
Tamil Nadu,23.57,11.47,67.04,16.02,50.97,high
MP,77.69,40.54,100.0,100.0,77.59,high
Bihar,58.31,15.6,71.11,100.0,60.54,high
Gujarat,43.39,3.75,71.36,0.0,54.87,critical
MP,51.03,37.49,67.93,100.0,29.58,medium
Telangana,34.73,40.93,78.05,37.15,42.92,high
Tamil Nadu,32.95,11.68,68.79,28.73,44.09,high
UP,70.2,17.8,56.07,88.88,76.84,high
Maharashtra,29.34,26.49,100.0,0.0,97.77,critical
Gujarat,64.18,10.11,62.38,0.0,68.3,critical
Rajasthan,82.0,23.31,40.5,93.78,79.15,high
MP,29.47,50.63,69.88,76.72,17.99,medium
Bihar,76.81,18.46,69.87,83.13,88.73,high
Gujarat,77.45,14.9,50.78,0.0,51.86,critical
UP,49.26,0.0,100.0,60.68,53.86,critical
Kerala,63.57,41.85,76.4,11.95,66.07,high
UP,88.23,33.74,74.83,64.39,48.76,high
Bihar,19.35,21.09,35.26,96.33,61.12,medium
Jharkhand,30.12,47.61,51.95,71.08,2.76,medium
Tamil Nadu,100.0,9.22,71.57,3.55,72.55,critical
Kerala,86.87,40.58,74.58,2.52,35.72,critical
Tamil Nadu,46.92,15.71,35.55,3.21,79.59,high
Assam,38.48,11.13,24.17,65.06,32.95,medium
Bihar,43.22,28.13,77.64,70.42,58.8,high
MP,58.32,67.18,72.16,95.87,67.04,medium
Andhra Pradesh,67.95,39.62,100.0,1.89,100.0,critical
Maharashtra,84.31,61.13,51.22,39.72,54.95,high
Gujarat,71.26,41.51,59.03,47.27,11.06,high
Andhra Pradesh,81.36,4.53,54.41,18.37,78.23,critical
Odisha,22.22,27.98,55.21,71.88,45.61,medium
MP,36.01,36.14,31.63,95.98,66.18,medium
MP,64.59,55.47,82.48,100.0,100.0,high
Odisha,63.69,0.0,100.0,7.89,94.52,critical
Assam,87.92,14.59,47.24,42.74,33.19,high
Jharkhand,0.0,25.62,72.92,89.88,56.52,medium
Karnataka,20.36,63.66,12.8,22.57,47.32,medium
Maharashtra,36.6,27.65,86.25,0.0,55.88,high
Assam,61.71,0.0,47.52,37.48,92.92,critical
West Bengal,93.44,4.3,74.54,9.54,17.93,critical
Rajasthan,32.83,31.36,100.0,66.8,17.59,high
Gujarat,17.19,30.71,89.45,28.29,47.76,high
UP,82.37,12.58,96.68,100.0,41.96,critical
Rajasthan,43.72,35.99,63.39,93.57,0.04,medium
Andhra Pradesh,32.97,44.24,100.0,1.74,51.69,high
Tamil Nadu,65.0,0.0,100.0,0.0,60.08,critical
Andhra Pradesh,82.7,4.4,77.26,0.0,34.41,critical
Jharkhand,100.0,33.46,64.46,93.37,37.08,high
Telangana,43.78,29.01,68.95,83.98,23.08,medium
Andhra Pradesh,71.71,44.5,42.07,12.05,31.14,high
Assam,14.66,21.97,58.31,74.12,34.89,medium
Assam,46.83,0.0,46.33,90.94,64.25,high
Assam,45.89,19.29,58.61,88.96,74.49,high
Jharkhand,21.63,18.56,36.2,100.0,28.83,medium
UP,100.0,31.68,21.98,100.0,51.04,high
Tamil Nadu,49.19,31.34,95.68,0.0,32.93,high
Rajasthan,14.23,27.56,16.67,81.34,90.61,medium
UP,63.13,26.38,70.62,87.08,48.44,high
Telangana,52.58,6.86,55.66,66.45,61.54,high
Andhra Pradesh,100.0,34.56,52.65,0.0,59.92,critical
West Bengal,37.08,28.38,43.83,9.26,58.23,high
Telangana,64.87,18.98,71.4,43.14,61.01,high
West Bengal,34.43,2.74,55.77,31.05,24.96,high
MP,56.71,58.09,72.68,82.32,60.03,high
Kerala,28.52,42.16,79.79,0.0,57.92,high
Gujarat,92.74,7.22,82.9,0.0,81.19,critical
Rajasthan,69.67,35.22,60.1,69.45,38.82,high
UP,40.35,9.69,74.07,100.0,90.58,high
Gujarat,41.06,0.0,63.23,55.59,29.91,high
Maharashtra,95.98,55.63,56.75,12.8,80.1,critical
Maharashtra,14.42,38.45,42.98,0.0,35.34,medium
Bihar,50.06,19.4,84.31,93.92,34.95,high
Tamil Nadu,63.27,27.5,25.13,12.48,80.69,high
Karnataka,24.76,19.51,38.41,14.75,52.84,high
West Bengal,57.41,0.0,45.19,20.59,27.13,high
Kerala,57.03,0.0,55.01,0.0,69.73,critical
Andhra Pradesh,100.0,25.9,68.84,0.0,53.34,critical
Maharashtra,51.19,25.64,56.84,0.0,11.55,high
Assam,57.18,18.62,48.04,37.98,100.0,high
Karnataka,26.71,48.74,54.39,48.79,97.33,medium
West Bengal,57.05,3.52,83.38,2.19,56.68,critical
Karnataka,63.04,34.39,60.27,0.0,41.17,high
Assam,72.81,9.8,50.56,100.0,72.81,high
Bihar,15.06,32.85,76.16,90.21,17.2,medium
Kerala,67.76,49.97,63.79,0.0,10.47,high
MP,55.9,47.62,66.08,51.95,33.84,high
Andhra Pradesh,45.65,29.49,65.98,1.39,17.19,high
Jharkhand,15.93,31.8,94.81,82.97,41.57,medium
Kerala,24.23,31.09,49.6,0.0,73.43,high
West Bengal,93.03,0.0,83.25,17.99,100.0,critical
Karnataka,76.93,52.1,99.29,0.0,59.51,critical
Maharashtra,0.65,38.12,80.18,0.0,0.0,medium
Maharashtra,64.67,50.51,45.13,16.59,11.68,high
Rajasthan,80.82,10.09,64.38,52.8,100.0,critical
West Bengal,37.83,0.0,79.65,0.0,61.07,critical
MP,85.15,62.07,60.81,74.62,76.0,high
Bihar,63.13,9.5,81.18,75.79,49.54,high
Tamil Nadu,87.79,19.15,80.99,0.0,54.21,critical
Tamil Nadu,54.25,18.89,80.86,29.56,46.92,high
Bihar,57.35,0.0,45.57,100.0,33.58,high
Karnataka,39.73,59.92,89.88,0.0,30.05,high
UP,51.38,17.61,69.91,67.77,27.99,high
Kerala,66.4,67.48,52.13,21.56,51.43,high
Jharkhand,61.71,35.61,81.59,58.53,59.11,high
Rajasthan,68.92,21.84,53.1,66.37,6.56,high
Kerala,6.3,27.33,49.79,7.21,62.81,high
Odisha,62.69,22.24,82.21,0.0,45.82,critical
MP,62.06,45.59,96.98,100.0,30.02,high
Kerala,52.64,33.71,81.25,14.56,50.76,high
Tamil Nadu,17.7,0.39,29.55,21.07,71.3,high
Odisha,69.14,0.0,80.07,17.62,82.24,critical
Telangana,71.83,31.09,40.9,86.93,69.24,high
Odisha,87.2,3.66,70.21,0.0,68.0,critical
Gujarat,91.16,3.19,94.73,36.78,100.0,critical
Rajasthan,35.38,34.72,62.58,100.0,27.81,medium
Karnataka,44.06,45.47,0.0,9.25,26.46,medium
West Bengal,69.73,10.08,31.02,37.14,92.03,high
Jharkhand,36.23,28.76,41.38,99.61,43.6,medium
MP,40.89,42.77,95.84,100.0,100.0,high
Assam,85.21,32.09,96.25,50.15,59.65,critical
Tamil Nadu,82.9,5.26,83.96,18.64,0.0,critical
West Bengal,75.02,10.42,53.42,0.0,17.22,critical
Bihar,92.84,21.46,44.52,100.0,80.53,high
Gujarat,69.55,30.75,82.51,11.12,51.22,critical
Odisha,41.81,21.57,27.08,13.41,75.82,high
MP,50.13,19.0,8.88,100.0,47.43,medium
West Bengal,54.31,31.58,98.23,0.0,34.94,critical
UP,66.72,10.89,45.01,83.93,70.32,high
Jharkhand,30.59,21.61,72.1,75.58,28.99,medium
Maharashtra,31.93,47.4,60.21,0.0,37.89,high
West Bengal,0.0,18.26,79.74,2.37,51.67,high
Karnataka,67.9,59.4,57.46,25.85,81.36,high
Jharkhand,27.24,43.51,38.34,100.0,52.0,medium
Kerala,63.7,25.89,97.59,8.28,35.24,critical
Bihar,29.6,12.93,73.58,100.0,54.41,high
Bihar,45.82,0.0,76.03,85.27,78.76,high
Jharkhand,43.79,65.15,100.0,59.31,32.23,high
Tamil Nadu,56.84,10.46,48.7,0.0,49.09,high
Jharkhand,42.93,20.7,67.45,100.0,58.08,high
Maharashtra,48.69,22.54,51.23,6.72,65.97,high
UP,53.47,3.96,66.67,100.0,25.66,high
West Bengal,54.87,0.0,44.25,5.46,28.07,high
Gujarat,57.83,0.0,83.38,0.0,96.83,critical
Karnataka,82.0,24.87,75.71,15.97,73.92,critical
UP,79.56,24.85,81.68,76.44,43.36,high
Tamil Nadu,67.09,53.16,68.66,3.12,41.95,high
UP,41.23,29.16,47.81,100.0,49.77,medium
Jharkhand,62.58,52.23,93.65,56.22,43.62,high
Gujarat,39.91,22.16,54.52,0.0,62.09,high
Maharashtra,49.11,14.9,87.8,31.34,47.05,high
UP,27.26,2.4,67.68,87.26,9.4,medium
UP,59.04,6.52,56.79,71.75,0.0,high
Rajasthan,26.45,55.22,96.65,100.0,60.73,medium
Gujarat,64.56,4.44,71.49,0.0,79.69,critical
Tamil Nadu,66.74,0.0,60.51,0.0,41.6,critical
Telangana,65.82,43.43,38.67,89.47,66.69,medium
MP,62.06,51.2,57.41,65.23,17.16,medium
Jharkhand,40.52,2.41,81.95,69.29,47.74,high
Tamil Nadu,64.71,4.55,81.87,14.9,50.97,critical
Kerala,58.86,48.33,54.46,16.19,40.34,high
Andhra Pradesh,45.49,15.77,62.6,1.63,52.15,high
West Bengal,40.5,17.0,32.67,0.0,23.3,high
Andhra Pradesh,38.61,22.23,41.04,0.0,80.97,high
Andhra Pradesh,57.87,0.0,55.08,13.07,84.83,critical
Jharkhand,31.82,38.58,84.5,90.02,54.74,medium
MP,80.03,32.23,69.82,86.48,71.89,high
Telangana,77.15,31.45,100.0,52.74,80.55,critical
MP,98.74,61.02,87.18,80.75,37.44,high
UP,100.0,12.36,67.46,96.03,51.09,critical
Karnataka,97.38,55.6,60.69,31.13,55.15,high
Odisha,49.5,0.0,74.04,0.0,27.64,critical
MP,38.26,57.39,67.42,78.3,69.39,medium
Karnataka,62.98,62.11,27.5,17.3,46.0,high
Jharkhand,71.78,47.75,53.49,100.0,52.16,high
Karnataka,54.54,58.14,57.02,1.94,15.56,high
UP,8.55,20.16,80.38,100.0,20.86,medium
Bihar,42.92,14.2,97.24,100.0,43.29,high
Telangana,32.72,17.95,70.35,97.64,100.0,high
Bihar,67.8,9.48,89.53,100.0,79.4,high
Rajasthan,11.65,7.89,65.14,100.0,23.13,medium
Jharkhand,26.41,36.63,64.34,75.84,46.79,medium
MP,7.95,51.97,61.08,76.6,65.46,medium
Kerala,76.39,54.31,74.42,19.91,96.01,critical
Karnataka,36.36,58.77,67.63,0.0,61.62,high
Odisha,100.0,0.0,57.82,14.64,43.19,critical
UP,53.13,0.2,94.64,79.93,19.64,high
West Bengal,51.14,11.46,18.01,14.69,60.91,high
Bihar,88.16,26.47,97.31,65.31,35.19,critical
UP,31.55,17.13,42.71,86.95,47.14,medium
Gujarat,51.07,1.53,57.76,0.0,41.13,critical
Jharkhand,44.66,51.06,55.5,34.27,53.14,high
Kerala,54.65,33.39,73.95,0.0,21.83,high
West Bengal,54.54,10.96,39.64,10.47,66.41,high
Odisha,42.73,0.0,47.53,0.0,28.37,high
UP,59.27,33.9,70.87,61.34,36.95,high
MP,69.12,56.51,100.0,63.41,62.42,high
Jharkhand,57.12,33.73,75.48,85.43,56.45,high
Assam,29.51,11.99,100.0,62.76,57.0,high
Bihar,45.96,41.52,65.38,100.0,55.43,medium
Maharashtra,46.33,3.4,90.24,0.0,33.66,critical
Tamil Nadu,100.0,0.0,60.56,18.49,63.41,critical
Gujarat,62.67,35.91,58.26,12.29,87.3,high
MP,59.08,39.88,37.31,100.0,30.44,medium
Odisha,28.01,18.9,6.19,23.12,54.87,medium
Assam,100.0,4.38,84.04,92.02,39.75,critical
UP,36.32,5.6,82.25,100.0,62.83,high
Karnataka,85.23,20.41,68.61,17.9,34.52,critical
Karnataka,62.83,29.7,64.52,0.0,9.19,high
Maharashtra,66.76,2.16,86.94,42.61,32.1,critical
Assam,63.4,17.89,83.75,37.85,30.93,high
UP,48.02,30.42,49.22,75.58,78.76,high
Bihar,62.0,13.18,65.46,56.94,80.08,high
Kerala,37.46,43.75,78.56,11.12,82.52,high
Maharashtra,50.34,33.14,55.17,21.14,25.66,high
West Bengal,27.89,0.0,44.86,11.35,55.66,high
UP,65.69,0.0,64.44,91.7,26.31,high
Gujarat,38.58,0.0,79.14,22.61,72.12,critical
Tamil Nadu,60.23,27.38,47.66,0.0,42.41,high
Bihar,59.62,0.0,69.15,100.0,3.01,high
Tamil Nadu,25.27,14.02,100.0,36.38,16.8,high
Tamil Nadu,33.94,21.16,76.0,0.0,35.5,high
Gujarat,34.24,19.33,68.95,0.0,42.1,high
Odisha,54.91,0.0,84.66,3.83,25.09,critical
Andhra Pradesh,53.46,15.7,71.55,0.0,83.47,critical
Assam,70.56,0.0,85.78,68.48,66.76,critical
MP,28.2,38.52,56.32,90.77,41.5,medium
Maharashtra,59.81,27.78,47.43,0.0,6.4,high
Jharkhand,57.98,18.76,80.77,83.53,52.06,high
Odisha,0.0,7.13,100.0,25.69,49.52,high
West Bengal,48.43,3.36,55.23,2.62,89.13,critical
Telangana,43.95,22.96,69.63,96.96,45.21,high
Kerala,37.71,29.69,53.53,5.04,88.73,high
West Bengal,78.89,33.79,100.0,23.73,75.69,critical
Odisha,58.28,20.05,78.54,0.0,26.59,critical
West Bengal,62.45,13.49,68.0,20.71,32.33,high
UP,53.93,15.31,69.61,59.8,34.59,high
UP,75.82,18.78,55.79,100.0,72.59,high
Telangana,56.52,10.45,81.97,87.77,44.08,high
Tamil Nadu,62.53,41.18,68.31,0.0,61.24,high
West Bengal,59.96,0.0,100.0,0.0,54.62,critical
MP,71.37,42.77,70.63,100.0,45.75,high
Odisha,22.15,6.99,40.36,18.96,59.28,high
UP,35.96,19.65,64.41,100.0,63.67,high
Andhra Pradesh,52.18,0.0,74.24,46.49,15.92,high
Karnataka,34.44,61.75,48.27,46.66,76.25,medium
Andhra Pradesh,47.06,5.58,81.62,33.85,79.38,critical
Gujarat,62.65,33.82,74.27,14.93,72.36,critical
Telangana,2.08,9.24,77.09,92.65,38.7,medium
Tamil Nadu,39.81,26.41,53.85,0.0,100.0,high
Karnataka,18.41,21.84,32.93,19.95,53.76,medium
Bihar,12.38,5.66,89.89,51.68,78.16,high
Bihar,48.16,12.21,45.92,81.86,67.16,high
MP,97.09,32.09,26.33,100.0,73.16,high
MP,43.16,51.69,59.19,100.0,39.86,medium
Rajasthan,57.81,39.75,51.87,76.15,68.65,high
Andhra Pradesh,14.37,0.0,68.98,14.73,60.11,high
MP,77.49,51.17,86.17,78.39,0.0,high
Jharkhand,86.2,26.41,31.67,93.8,0.0,high
Jharkhand,33.34,44.68,84.9,76.75,77.67,high
West Bengal,32.32,14.99,74.25,0.0,33.06,high
Andhra Pradesh,40.73,31.01,52.67,0.0,15.58,high
Maharashtra,43.39,51.9,30.6,0.0,55.71,high
Telangana,58.33,1.76,80.51,47.09,0.0,high
West Bengal,47.66,0.0,71.6,37.13,57.8,high
Telangana,0.0,30.36,86.64,94.91,70.4,medium
Karnataka,53.14,38.93,63.64,27.84,22.15,high
Jharkhand,65.99,46.68,74.16,100.0,49.86,high
Odisha,71.72,29.37,0.0,25.88,44.49,high
Bihar,53.49,18.82,80.48,69.97,54.83,high
Bihar,87.99,0.0,91.99,86.38,1.29,critical
Tamil Nadu,67.3,7.11,21.93,26.94,38.03,high
Karnataka,33.43,56.51,53.78,0.0,50.07,high
Andhra Pradesh,82.79,49.02,66.39,0.0,24.94,high
Gujarat,27.46,28.14,62.25,24.18,45.36,high
Jharkhand,41.6,9.39,42.67,100.0,46.1,medium
West Bengal,41.29,0.0,71.8,21.43,66.54,critical
MP,47.64,32.08,54.86,54.63,16.79,high
Maharashtra,56.94,35.82,65.77,0.0,55.98,high
West Bengal,8.85,0.0,35.07,0.0,47.91,high
Assam,18.76,22.23,39.28,71.75,59.9,medium
Karnataka,52.08,31.15,56.98,52.41,52.87,high
Jharkhand,33.1,47.17,42.03,96.38,88.45,medium
Kerala,13.81,37.54,62.32,0.0,17.6,medium
Odisha,67.68,6.78,70.54,43.29,68.12,critical
Kerala,58.55,27.49,77.42,0.0,67.53,critical
Rajasthan,56.67,41.87,58.32,100.0,24.51,medium
Maharashtra,33.39,27.89,71.33,8.79,9.86,high
MP,44.02,0.0,76.65,100.0,63.49,high
Assam,42.43,11.95,70.88,65.31,30.41,high
Jharkhand,37.74,20.4,27.45,89.21,16.26,medium
Assam,18.05,0.0,59.59,87.85,4.31,medium
Tamil Nadu,53.63,22.23,40.25,22.38,72.18,high
Andhra Pradesh,79.44,8.71,37.48,0.0,35.09,critical
UP,81.86,27.16,59.61,100.0,66.03,high
Jharkhand,79.98,31.44,86.09,88.72,100.0,critical
Gujarat,53.68,9.76,82.19,0.0,48.86,critical
West Bengal,13.38,29.39,55.54,7.39,32.98,medium
Odisha,32.46,36.24,44.64,0.0,37.69,high
MP,74.76,45.1,76.41,100.0,41.72,high
West Bengal,39.69,3.44,80.6,0.0,58.84,critical
MP,81.22,33.0,51.64,100.0,21.36,high
Rajasthan,20.92,11.49,49.65,100.0,42.83,medium
Maharashtra,59.38,74.78,72.35,0.0,73.05,high
Karnataka,67.07,6.54,43.9,0.0,23.36,high
Andhra Pradesh,49.44,0.0,96.9,0.0,52.46,critical
UP,83.02,0.0,66.1,70.81,18.54,high
UP,30.68,18.14,51.61,64.59,37.29,medium
Telangana,38.48,16.95,51.03,77.25,61.13,high
MP,92.45,32.45,72.62,100.0,87.24,high
MP,42.06,0.46,65.07,94.56,73.11,high
Telangana,61.3,14.25,58.29,59.21,60.84,high
Karnataka,34.85,46.38,56.5,36.85,67.9,high
Karnataka,47.51,41.25,100.0,0.0,86.6,critical
UP,79.92,20.25,76.54,100.0,70.52,high
MP,64.04,45.08,23.28,84.26,44.03,medium
Odisha,90.75,4.57,89.31,3.48,49.74,critical
Andhra Pradesh,85.94,13.14,64.14,7.16,71.21,critical
West Bengal,0.0,7.32,88.6,7.27,58.9,high
MP,47.63,60.19,43.44,74.23,18.64,medium
Gujarat,18.23,4.72,94.14,0.0,46.75,high
Telangana,71.29,10.93,60.97,74.87,64.97,high
Telangana,71.71,29.56,53.42,100.0,0.0,medium
MP,88.46,23.06,78.37,69.64,89.45,critical
Telangana,27.47,32.45,74.26,78.95,57.78,medium
Odisha,91.73,4.63,67.75,33.24,30.17,critical
MP,81.52,25.18,83.66,75.39,24.8,high
Tamil Nadu,80.85,19.28,72.98,18.11,59.48,critical
Rajasthan,95.23,11.38,95.39,100.0,75.76,critical
Bihar,78.17,0.0,66.97,88.94,14.45,high
